life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
75.55,9.22,13.53,16255.31,0.7657,High
75.01,9.04,13.05,15897.54,0.755,High
56.73,4.39,9.23,1606.5,0.457,Low
70.06,9.96,12.07,7532.44,0.6949,Medium
77.04,9.57,17.39,42957.54,0.8638,Very High
63.29,6.07,11.11,2095.42,0.5388,Low
77.62,9.03,16.61,30895.19,0.8365,Very High
71.98,6.24,13.6,6843.41,0.6687,Medium
77.42,10.06,13.57,19279.63,0.7937,High
60.75,5.28,7.43,1267.34,0.4514,Low
63.75,7.22,12.47,2730.89,0.5822,Medium
74.39,10.83,13.61,12282.76,0.766,High
81.38,11.41,15.5,65268.18,0.9084,Very High
77.29,10.92,13.97,29819.05,0.8293,Very High
65.04,3.24,7.28,1533.49,0.446,Low
67.66,5.5,10.23,3814.79,0.5734,Medium
69.22,10.16,13.63,7640.31,0.7086,High
62.45,4.38,8.88,1345.5,0.4653,Low
48.9,1.3,6.63,743.13,0.3129,Low
68.26,6.15,13.71,2994.47,0.6068,Medium
49.29,0.5,4.75,414.24,0.2431,Low
75.7,10.08,8.77,14323.01,0.7196,High
80.26,13.4,17.36,61922.71,0.942,Very High
78.76,13.62,14.77,42261.97,0.8936,Very High
69.95,9.75,14.33,24843.16,0.7736,High
70.48,5.99,12.02,1903.86,0.5692,Medium
68.43,6.48,10.1,2071.9,0.5533,Medium
73.14,8.41,11.44,5142.99,0.6628,Medium
63.65,6.87,12.54,4687.26,0.6085,Medium
51.14,3.74,8.8,1425.36,0.414,Low
82.3,11.64,16.04,86933.38,0.928,Very High
55.06,6.17,8.63,1500.3,0.4615,Low
50.52,1.99,9.74,497.47,0.3371,Low
52.93,5.0,6.99,634.69,0.371,Low
78.66,11.56,17.0,48650.93,0.8976,Very High
60.15,5.01,6.3,1212.54,0.4302,Low
70.18,6.19,15.51,22662.84,0.7387,High
63.83,4.87,10.45,2926.09,0.5379,Low
64.22,7.76,12.37,3645.18,0.606,Medium
78.92,11.32,18,42418.16,0.8992,Very High
86,11.36,17.7,88366.28,0.9547,Very High
56.35,4.65,4.56,1719.02,0.4076,Low
60.22,3.3,4.92,2004.31,0.4104,Low
78.86,12.13,17.8,95000,0.9336,Very High
